"","name","country_parent","total","dems","repubs","year"
"1","7-Eleven","Japan/Ito-Yokado","$7,070","$2,528","$4,542",2002
"2","ABB Group","Switzerland/Asea Brown Boveri","$34,500","$18,750","$15,750",2002
"3","Accenture","UK/Accenture plc","$220,947","$94,242","$126,705",2002
"4","ACE INA","UK/ACE Group","$77,250","$31,500","$45,750",2002
"5","Acuson Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0",2002
"6","AE Staley Manufacturing (Tate & Lyle)","UK/Tate & Lyle","$28,500","$12,500","$16,000",2002
"7","AEGON USA (AEGON NV)","Netherlands/Aegon NV","$164,500","$73,500","$91,000",2002
"8","AIM Management Group","UK/AMVESCAP","$24,500","$8,500","$16,000",2002
"9","Air Liquide America","France/L'Air Liquide SA","$2,650","$2,000","$650",2002
"10","Alcatel USA","France/Alcatel","$13,750","$4,500","$9,250",2002
"11","Alcon Laboratories (Nestle SA)","Switzerland/Nestle","$2,000","$1,000","$1,000",2002
"12","Allfirst Financial","Ireland/Allied Irish Banks","$6,320","$3,820","$2,500",2002
"13","Allianz of America (Allianz)","Germany/Allianz AG Holding","$60,750","$19,100","$41,650",2002
"14","Allied Domecq Spirits & Wine","UK/Allied Domecq","$32,250","$6,000","$26,250",2002
"15","American Water Works Co (RWE AG)","Germany/RWE AG","$32,900","$12,850","$20,050",2002
"16","AMP Inc (Tyco International)","Ireland/Tyco International","$0","$0","$0",2002
"17","Anglogold Ltd","UK/Anglo American PLC","$11,850","$3,000","$8,850",2002
"18","APL Ltd","Singapore/Neptune Orient Lines Ltd","$15,360","$5,250","$10,110",2002
"19","Aqua-Chem Inc","France/Lyonnaise des Eaux-Dumez Group","$0","$0","$0",2002
"20","ASARCO LLC","Mexico/Nueva Grupo Mexico","$2,000","$0","$2,000",2002
"21","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca","$125,800","$38,050","$87,750",2002
"22","ATOFINA Chemicals (TotalFinaElf)","France/TOTAL FINA ELF","$26,600","$7,100","$19,500",2002
"23","ATOFINA Petrochemicals (TotalFinaElf)","France/TotalFinaElf","$2,500","$1,000","$1,500",2002
"24","Austin, Nichols & Co","France/Pernod Ricard SA","$0","$0","$0",2002
"25","Aventis Pasteur USA (Aventis)","France/Aventis","$137,040","$75,790","$61,250",2002
"26","Aventis Pharmaceuticals (Aventis)","France/Aventis","$116,000","$24,500","$91,500",2002
"27","Aventis Pharmaceuticals Products (Aventis)","France/Aventis","$15,267","$0","$15,267",2002
"28","Babcock & Wilcox (McDermott International)","Panama/McDermott International","$30,500","$10,000","$20,500",2002
"29","Bacardi USA","UK/Bacardi Ltd","$0","$0","$0",2002
"30","BAE Systems North America (BAE Systems)","UK/BAE Systems","$390,276","$149,028","$241,248",2002
"31","Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$75,000","$33,500","$41,500",2002
"32","BASF Corp","Germany/BASF Group","$204,500","$41,500","$163,000",2002
"33","Bayer Corp (Bayer AG)","Germany/Bayer AG","$260,500","$73,000","$187,500",2002
"34","Bayer CropScience (Bayer AG)","Germany/Bayer AG","$36,000","$15,500","$20,500",2002
"35","Bear Creek Corp (Yamanouchi Consumer)","Japan/Yamanouchi Consumer","$10,150","$5,050","$5,100",2002
"36","BHP Holdings","Australia/BHP Billiton","$1,023","$400","$623",2002
"37","Bird-Johnson Co (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$3,000","$500","$2,500",2002
"38","Blue Circle America","UK/Blue Circle Industries","$8,500","$1,000","$7,500",2002
"39","BOC Group","UK/BOC Group","$0","$0","$0",2002
"40","Bombardier Transportation USA","Canada/Bombardier Inc","$24,000","$10,500","$13,500",2002
"41","BP North America","UK/BP PLC","$175,000","$65,750","$109,250",2002
"42","Bridgestone Americas","Japan/Bridgestone Corp","$60,200","$24,200","$36,000",2002
"43","Brown & Williamson Tobacco","UK/British American Tobacco","$242,324","$44,000","$198,324",2002
