"","harass5","emailmin","emailhr","educ","polviews","advfront","snapchat","instagrm","wrkstat"
"1",NA,0,12,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"2",NA,30,0,12,"Liberal","Disagree","No","No","Working fulltime"
"3","No",NA,NA,16,"Conservative",NA,"No","No","Retired"
"4",NA,10,0,12,"Moderate","Disagree",NA,NA,"Working parttime"
"5","No",NA,NA,18,"Slightly liberal",NA,"Yes","Yes","Working parttime"
"6",NA,0,2,14,"Slightly liberal","Strongly agree","No","Yes","Keeping house"
"7",NA,0,40,14,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"8","No",NA,NA,11,"Slghtly conservative",NA,"Yes","Yes","Working parttime"
"9",NA,0,0,12,NA,"Agree",NA,NA,"Working fulltime"
"10","No",NA,NA,14,"Conservative",NA,"No","No","Retired"
"11","No",0,2,12,NA,NA,"No","No","Keeping house"
"12",NA,NA,NA,12,"Slghtly conservative","Dont know",NA,NA,"Retired"
"13",NA,0,10,12,"Slightly liberal","Agree","No","No","Working parttime"
"14","Does not apply (i do not have a job/superior/co-worker)",NA,NA,NA,"Liberal",NA,"No","No","Keeping house"
"15",NA,30,0,10,"Moderate","Agree","No","No","Temp not working"
"16","Yes",NA,NA,13,"Moderate",NA,NA,NA,"Working fulltime"
"17","No",NA,NA,13,"Conservative",NA,NA,NA,"Temp not working"
"18",NA,0,1,10,"Slightly liberal","Agree",NA,NA,"Keeping house"
"19","No",0,1,18,"Liberal",NA,"Yes","No","Working fulltime"
"20",NA,0,2,13,"Liberal","Agree",NA,NA,"Working fulltime"
"21",NA,0,25,12,"Liberal","Strongly agree","No","No","Working fulltime"
"22","No",NA,NA,11,"Slghtly conservative",NA,"No","Yes","Temp not working"
"23","No",0,1,10,"Slightly liberal",NA,"Yes","Yes","Working parttime"
"24","No",NA,NA,12,"Extrmly conservative",NA,NA,NA,"Unempl, laid off"
"25","No",NA,NA,15,"Liberal",NA,"No","Yes","Working fulltime"
"26","No",NA,NA,3,NA,NA,NA,NA,"Retired"
"27",NA,NA,NA,19,"Liberal","Agree",NA,NA,"Retired"
"28","No",0,0,14,"Moderate",NA,"Yes","Yes","Working parttime"
"29",NA,10,0,18,"Moderate","Agree","No","No","Retired"
"30","No",NA,NA,12,"Conservative",NA,"No","No","Retired"
"31",NA,0,1,12,"Liberal","Strongly agree","No","No","Unempl, laid off"
"32","No",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"33",NA,0,2,12,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"34","No",NA,NA,14,"Slghtly conservative",NA,"No","No","Retired"
"35",NA,0,0,12,"Moderate","Disagree",NA,NA,"Unempl, laid off"
"36",NA,30,0,12,"Conservative","Agree","No","Yes","Working fulltime"
"37","No",0,5,16,"Conservative",NA,"No","No","Working parttime"
"38",NA,0,2,16,"Moderate","Agree",NA,NA,"Working fulltime"
"39","No",NA,NA,16,"Conservative",NA,"No","Yes","Working fulltime"
"40",NA,NA,NA,14,"Moderate","Agree",NA,NA,"Retired"
"41","No",NA,NA,12,"Extrmly conservative",NA,NA,NA,"Working fulltime"
"42",NA,0,1,12,"Moderate","Agree",NA,NA,"Working parttime"
"43",NA,0,7,16,"Moderate","Strongly agree","Yes","No","Working parttime"
"44","No",NA,NA,20,"Liberal",NA,"No","No","Working fulltime"
"45","No",30,1,17,"Moderate",NA,"No","No","Retired"
"46","No",NA,NA,15,"Extremely liberal",NA,"No","No","Working fulltime"
"47",NA,0,60,16,"Liberal","Strongly agree","No","Yes","Working fulltime"
"48",NA,0,4,16,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"49","No",NA,NA,17,"Slightly liberal",NA,"Yes","No","School"
"50","No",0,20,16,"Extremely liberal",NA,"No","No","Working fulltime"
"51",NA,0,45,16,"Liberal","Agree","Yes","Yes","Working fulltime"
"52",NA,0,2,12,"Extremely liberal","Strongly agree",NA,NA,"Retired"
"53","No",0,1,13,"Slghtly conservative",NA,"Yes","Yes","Working parttime"
"54","No",NA,NA,19,"Moderate",NA,"No","No","Working fulltime"
"55",NA,0,0,16,"Conservative","Agree",NA,NA,"Working parttime"
"56",NA,0,7,16,"Extremely liberal","Strongly agree","No","Yes","Working parttime"
"57","Yes",0,2,17,"Moderate",NA,"No","No","Working fulltime"
"58",NA,0,25,17,"Slightly liberal","Agree","No","No","Working fulltime"
"59","No",NA,NA,20,"Liberal",NA,"No","No","Working fulltime"
"60",NA,45,0,10,"Slghtly conservative","Agree",NA,NA,"Unempl, laid off"
"61","No",NA,NA,13,"Moderate",NA,"Yes","Yes","Working fulltime"
"62",NA,20,0,12,"Conservative","Agree","No","No","Unempl, laid off"
"63","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,NA,NA,"Other"
"64","Yes",0,1,13,"Slightly liberal",NA,"Yes","Yes","School"
"65",NA,NA,NA,11,"Moderate","Agree",NA,NA,"Keeping house"
"66","Yes",NA,NA,10,"Extrmly conservative",NA,"No","Yes","Working fulltime"
"67",NA,0,60,12,"Slightly liberal","Disagree","No","Yes","Working fulltime"
"68",NA,20,0,10,"Extrmly conservative","Agree",NA,NA,"Temp not working"
"69",NA,NA,NA,11,"Slghtly conservative","Agree",NA,NA,"Other"
"70",NA,NA,NA,6,"Moderate","Strongly agree",NA,NA,"Retired"
"71",NA,0,0,10,NA,"Agree",NA,NA,"Retired"
"72",NA,0,44,14,"Moderate","Agree",NA,NA,"Working fulltime"
"73",NA,NA,NA,11,"Moderate","Agree",NA,NA,"Retired"
"74","No",0,1,12,"Slghtly conservative",NA,NA,NA,"Retired"
"75",NA,0,1,18,"Slightly liberal","Strongly agree",NA,NA,"Working parttime"
"76",NA,NA,NA,10,"Liberal","Agree",NA,NA,"Keeping house"
"77",NA,0,15,20,"Extremely liberal","Agree",NA,NA,"Working parttime"
"78",NA,0,10,18,"Extremely liberal","Strongly agree",NA,NA,"Working fulltime"
"79","No",NA,NA,19,"Extremely liberal",NA,"No","No","Retired"
"80","No",NA,NA,12,NA,NA,"No","No","Working fulltime"
"81",NA,0,40,14,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"82","Yes",NA,NA,14,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"83",NA,0,2,16,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"84","No",NA,NA,12,"Moderate",NA,NA,NA,"Working fulltime"
"85","No",NA,NA,16,"Moderate",NA,"No","Yes","Working fulltime"
"86",NA,0,2,12,"Moderate","Agree",NA,NA,"Working fulltime"
"87","Yes",0,60,16,"Moderate",NA,"No","Yes","Working fulltime"
"88",NA,NA,NA,13,"Moderate","Disagree",NA,NA,"Working fulltime"
"89","No",NA,NA,12,NA,NA,NA,NA,"Working fulltime"
"90","No",NA,NA,12,"Slightly liberal",NA,NA,NA,"Retired"
"91",NA,0,5,12,"Moderate","Strongly agree","No","No","Keeping house"
"92","No",NA,NA,20,"Extremely liberal",NA,NA,NA,"Keeping house"
"93",NA,0,5,19,NA,"Strongly agree",NA,NA,"Retired"
"94","No",NA,NA,16,"Slightly liberal",NA,"Yes","Yes","Working fulltime"
"95","No",NA,NA,17,"Slightly liberal",NA,"No","No","Working fulltime"
"96","No",0,15,15,"Extremely liberal",NA,"No","Yes","Working fulltime"
"97",NA,0,1,16,"Extremely liberal","Agree",NA,NA,"Working fulltime"
"98",NA,0,10,16,"Moderate","Strongly disagree","No","No","Working fulltime"
"99","No",NA,NA,20,"Slightly liberal",NA,"No","No","Working fulltime"
"100","No",NA,NA,16,"Slightly liberal",NA,"No","No","Working parttime"
"101","Yes",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"102","No",0,0,12,"Moderate",NA,NA,NA,"Retired"
"103",NA,NA,NA,12,"Moderate","Agree",NA,NA,"Retired"
"104","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"105","Yes",NA,NA,14,"Extremely liberal",NA,NA,NA,"Working fulltime"
"106",NA,NA,NA,8,"Moderate","Strongly agree",NA,NA,"Retired"
"107","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"108",NA,NA,NA,12,"Slightly liberal","Strongly agree",NA,NA,"Unempl, laid off"
"109",NA,0,5,11,"Moderate","Agree",NA,NA,"Retired"
"110","No",NA,NA,16,"Conservative",NA,"No","No","Working parttime"
"111",NA,0,3,16,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"112","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"113",NA,NA,NA,14,"Moderate",NA,NA,NA,"Working fulltime"
"114","No",0,2,14,"Moderate",NA,NA,NA,"Working fulltime"
"115",NA,0,4,20,"Moderate","Agree","No","Yes","Working fulltime"
"116","Yes",NA,NA,17,"Liberal",NA,"No","No","Working parttime"
"117","No",NA,NA,19,"Slightly liberal",NA,"No","No","Retired"
"118",NA,45,0,19,"Extremely liberal","Strongly agree","No","No","Working fulltime"
"119","No",NA,NA,13,"Moderate",NA,"No","No","Retired"
"120","No",0,7,12,"Moderate",NA,"No","No","Retired"
"121",NA,0,1,18,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"122","No",NA,NA,15,"Moderate",NA,"No","Yes","Working parttime"
"123","No",NA,NA,16,"Extrmly conservative",NA,"No","No","Working parttime"
"124",NA,0,50,12,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"125",NA,0,1,16,"Slghtly conservative","Agree","No","No","Retired"
"126","No",0,1,15,"Moderate",NA,NA,NA,"School"
"127",NA,0,10,12,"Moderate","Agree",NA,NA,"Working fulltime"
"128","No",NA,NA,16,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"129","No",0,20,16,"Liberal",NA,"No","Yes","Working fulltime"
"130",NA,0,40,20,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"131","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"132",NA,0,20,16,"Conservative","Agree",NA,NA,"Working fulltime"
"133","No",NA,NA,14,"Moderate",NA,"No","No","Keeping house"
"134",NA,30,3,12,"Moderate","Agree",NA,NA,"Working fulltime"
"135","Yes",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"136",NA,0,1,14,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"137","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"138","No",NA,NA,12,"Conservative",NA,"No","Yes","Retired"
"139",NA,0,8,16,"Moderate","Agree",NA,NA,"Working fulltime"
"140","No",NA,NA,12,"Slghtly conservative",NA,NA,NA,"Retired"
"141",NA,0,1,16,"Conservative","Agree",NA,NA,"Keeping house"
"142","Does not apply (i do not have a job/superior/co-worker)",NA,NA,14,"Extremely liberal",NA,NA,NA,"Keeping house"
"143",NA,0,1,14,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"144","No",NA,NA,16,"Moderate",NA,"No","No","Unempl, laid off"
"145","No",10,0,14,"Extrmly conservative",NA,"No","No","Working fulltime"
"146",NA,0,30,16,"Liberal","Strongly agree","No","No","Working fulltime"
"147","No",NA,NA,16,"Slightly liberal",NA,"No","No","Working parttime"
"148","No",30,0,14,"Moderate",NA,NA,NA,"Working fulltime"
"149",NA,0,50,12,"Slghtly conservative","Agree","No","No","Working fulltime"
"150",NA,0,2,16,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"151","No",NA,NA,18,"Liberal",NA,"No","No","Working fulltime"
"152",NA,0,5,15,"Slightly liberal","Agree","No","Yes","Working fulltime"
"153","No",NA,NA,12,NA,NA,"No","No","Working parttime"
"154",NA,0,20,18,"Liberal","Strongly agree",NA,NA,"Working parttime"
"155","Yes",NA,NA,12,"Moderate",NA,"No","No","Working fulltime"
"156",NA,0,1,14,"Moderate","Agree",NA,NA,"Working parttime"
"157","No",NA,NA,16,"Moderate",NA,"No","No","Working parttime"
"158",NA,0,3,16,"Moderate","Strongly agree",NA,NA,"Keeping house"
"159","No",0,40,13,"Moderate",NA,"Yes","No","Working fulltime"
"160",NA,0,0,12,"Liberal","Agree",NA,NA,"Working fulltime"
"161",NA,0,5,15,"Extrmly conservative","Strongly agree","Yes","Yes","Working fulltime"
"162",NA,0,10,18,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"163","No",NA,NA,12,"Slightly liberal",NA,NA,NA,"Working parttime"
"164",NA,NA,NA,NA,"Slghtly conservative",NA,NA,NA,"Retired"
"165",NA,NA,NA,12,"Conservative","Disagree",NA,NA,"Working fulltime"
"166",NA,NA,NA,11,"Extrmly conservative","Agree",NA,NA,"Keeping house"
"167","No",NA,NA,12,"Liberal",NA,"No","No","Temp not working"
"168","No",0,7,13,"Moderate",NA,"No","Yes","Keeping house"
