attraction,n_2021,n_2022,admission,setting,region
"1066 Battle of Hastings, Abbey and Battlefield",91690,108113,Members,O,South East
Abbey House Museum,21369,45118,Charged,I,Yorkshire and the Humber
Abertarff House,NA,7296,Free,I,Scotland
Alice Holt Forest,NA,340973,Free,O,South East
Alloa Tower,4574,5965,Members,I,Scotland
Anglesey Abbey,310940,345209,Members,M,East of England
Anne Hathaway's Cottage,23199,42294,Charged,M,West Midlands
Arbeia South Sheilds Roman Fort,NA,19568,Free,M,North East
Ashmolean Museum Oxford,212497,728006,Free,I,South East
Aston Hall,17789,37490,Members,M,West Midlands
Attingham Park,597154,538394,Members,M,West Midlands
Audley End House and Gardens,167347,165875,Members,M,East of England
Baddesley,183611,204623,Members,M,West Midlands
Balmacara Estate & Lochalsh Woodland Garden,50876,58227,Free,O,Scotland
Bannockburn Heritage Centre,13994,27512,Members,I,Scotland
Barrie's Birthplace,1257,1747,Members,I,Scotland
Barry Mill,7561,20462,Members,I,Scotland
Beamish Museum,593985,773814,Members,M,North East
Beaulieu,276888,327026,Charged,M,South East
Bedgebury National Pinetum,526221,409771,Free,O,South East
Beechenhurst,NA,409219,Free,O,South West
Beeston Castle and Woodland Park,NA,52282,Members,O,North West
Belsay Hall Castle and Gardens,NA,65611,Members,M,North East
Belton House,340290,361270,Members,M,East Midlands
Ben Lawers Visitor Centre,35812,20971,Free,O,Scotland
Ben Lomond,49550,54649,Free,O,Scotland
Benmore Botanic Garden,30424,33483,Charged,O,Scotland
Birmingham Museum and Art Gallery,NA,409784,Free,I,West Midlands
Blackness Castle,12663,58168,Members,M,Scotland
Blakesley Hall,5652,11407,Members,M,West Midlands
Blenheim Palace,599601,806806,Members,M,South East
Bletchley Park Trust,124821,223570,Members,M,South East
Blickling,167633,191341,Members,M,East of England
Blists Hill Victorian Town,NA,132249,Charged,O,West Midlands
Bodleian Libraries,245281,711478,Free,I,South East
Bodnant Garden,239790,270302,Members,O,Wales
Bolsover Castle,NA,89252,Members,M,East Midlands
Branklyn Garden,17487,17318,Members,O,Scotland
British Library,403312,1149070,Free,I,London
Brodick Castle & Country Park,47394,63255,Members,M,Scotland
Brodie Castle,52788,55690,Members,M,Scotland
Brodsworth Hall and Gardens,93614,100545,Members,M,Yorkshire and the Humber
Broughton House & Garden,3950,11140,Members,M,Scotland
Brunel's SS Great Britain,84583,147742,Charged,I,South West
Burghley House,55289,83603,Charged,M,East of England
Calke Abbey,407292,486375,Members,M,East Midlands
Cambridge University Botanic Garden,290753,345251,Members,O,East of England
Canna,1352,6205,Free,O,Scotland
Cannock Chase Forest,NA,352198,Free,O,West Midlands
Canterbury Cathedral,336928,551767,Members,I,South East
Cardinham Woods,NA,236682,Free,O,South West
Carisbrooke Castle,90974,104891,Members,O,South East
Carrick-a-Rede,NA,92504,Members,O,Northern Ireland
Castle Fraser,47874,42331,Members,M,Scotland
Castle Howard,232537,266998,Members,M,Yorkshire and the Humber
Charlecote,194304,205668,Members,M,West Midlands
Chartwell,196700,223877,Members,M,South East
Chatsworth,540927,578745,Members,M,East Midlands
Churchill War Rooms,95313,438092,Members,I,London
Clifford's Tower York,NA,171024,Members,M,Yorkshire and the Humber
Cliveden,553041,536672,Members,M,South East
Clumber Park,448588,541351,Members,O,East Midlands
Coalbrookdale Museum of Iron,NA,18508,Charged,I,West Midlands
Coalport China Museum,NA,13279,Charged,I,West Midlands
Corfe Castle,204185,235987,Members,O,South West
Corrieshalloch Gorge,70591,65279,Free,O,Scotland
Cragside Estate,226536,231188,Members,M,North East
Craigievar Castle,13181,29222,Members,M,Scotland
Craigmillar Castle,11876,28958,Members,M,Scotland
Crarae Garden,NA,12024,Members,M,Scotland
Crathes Castle,138099,148174,Members,M,Scotland
Croome,224367,241819,Members,M,West Midlands
Culloden Visitor Centre,57778,149003,Members,M,Scotland
Culross Palace,10733,21894,Members,I,Scotland
Culzean Castle & Country Park,228911,209002,Members,M,Scotland
Dalby Forest,NA,347443,Free,O,Yorkshire and the Humber
Darby Houses,NA,2543,Free,I,West Midlands
Dawyck Botanic Garden,33943,39672,Charged,O,Scotland
Delamere Forest,NA,472986,Free,O,North West
Discovery Museum,NA,160432,Free,I,North East
Doune Castle,3171,55484,Members,M,Scotland
Dover Castle,148479,224782,Members,M,South East
Drum Castle,38399,42179,Members,M,Scotland
Dunfermline Abbey,6634,29408,Free,M,Scotland
Dunham Massey,522346,525819,Members,M,North West
Dunstaffnage Castle,4842,20188,Members,M,Scotland
Dunster,127745,167723,Members,M,South West
Durham Cathedral,251456,296406,Free,I,North East
Dyrham,204473,202266,Members,M,South West
Eden Project,577929,658084,Charged,M,South West
Edinburgh Castle,423866,1346168,Members,M,Scotland
Edinburgh Zoo,632122,601285,Members,M,Scotland
Elgin Cathedral,5377,22627,Members,M,Scotland
Eltham Palace and Gardens,93085,128986,Members,M,London
Enginuity,NA,36602,Charged,I,West Midlands
Falkland Palace,21537,44585,Members,M,Scotland
Fineshade Wood,NA,136180,Free,O,East of England
Fleet Air Arm Museum,46254,64319,Charged,I,South West
Forest of Dean Cycle Centre,NA,225159,Free,O,South West
Fort George,35427,57390,Members,M,Scotland
Foutains Abbey Estate,364057,420403,Members,O,Yorkshire and the Humber
Framlingham Castle,NA,84599,Members,M,East of England
Fyvie Castle,61775,69513,Members,M,Scotland
Gallery of Modern Art,75758,318620,Free,I,Scotland
Geilston Garden,13360,12970,Members,O,Scotland
Georgian House,7626,18483,Members,I,Scotland
Giants Causeway,151758,421713,Members,M,Northern Ireland
Gibside,239972,248578,Members,O,North East
Gisburn Forest and Stocks,NA,80566,Free,O,North West
Gladstone's Land,11423,41049,Members,I,Scotland
Glasgow Cathedral,33788,256001,Free,I,Scotland
Glasgow Museums Resource Centre,NA,3859,Free,I,Scotland
Glencoe Visitor Centre,129829,344896,Free,M,Scotland
Glenfinnan Monument,292981,398130,Members,M,Scotland
Goatfell,59950,23760,Free,O,Scotland
Great North Museum: Hancock,NA,204823,Free,I,North East
Greenbank Garden,18210,21937,Members,O,Scotland
Grey Mare's Tail,43478,54453,Free,O,Scotland
Grizedale,NA,139970,Free,O,North West
Guildhall Art Gallery and London's Roman Ampitheatre,37782,46423,Free,I,London
Haddo House,6160,14650,Members,M,Scotland
Haldon Forest Park,NA,443553,Free,O,South West
Hampton Court Palace,376107,527899,Members,M,London
Hamsterley Forest,NA,160929,Free,O,North East
Hanbury Hall and Gardens,174654,199039,Members,M,West Midlands
Hardwick,194822,240297,Members,M,North East
Harewood House Trust,247761,292566,Members,M,Yorkshire and the Humber
Hatton Gallery,NA,17686,Free,I,North East
Haughmond Hill,NA,187629,Free,O,West Midlands
Hermitage,NA,36938,Free,O,Scotland
Hicks Lodge,NA,95769,Free,O,East Midlands
High Lodge Thetford Forest,537098,525685,Free,O,East of England
Highland Wildlife Park,151443,152048,Members,O,Scotland
Hill House,22293,33740,Members,I,Scotland
Hill of Tarvit,2742,5642,Members,I,Scotland
History of Science Museum,31911,126517,Free,I,South East
HMS Belfast,60035,167933,Members,I,London
Holkham Hall,84560,116022,Charged,M,East of England
Holmwood House,1577,4586,Members,I,Scotland
Horniman Museum and Gardens,653200,790067,Free,M,London
House of Dun,22647,31611,Members,M,Scotland
Housesteads Roman Fort - Hadrian's Wall,NA,87854,Members,O,North East
Hugh Miller's Cottage,NA,3842,Members,I,Scotland
Ickworth,263273,294134,Members,M,East of England
International Slavery Museum,144446,265360,Free,I,North West
Inveresk Lodge Garden,6004,2291,Members,O,Scotland
Inverewe Gardens,42104,53517,Members,O,Scotland
Iona,6157,26982,Free,O,Scotland
Iona Abbey,14234,55256,Members,M,Scotland
IWM Duxford,221158,346658,Members,M,East of England
IWM London,320542,684909,Free,I,London
IWM North,105131,215245,Free,I,North West
Jackfield Tile Museum,NA,11820,Charged,I,West Midlands
