name,code,population
Burundi,BDI,11695.779
Comoros,COM,783.646
Djibouti,DJI,1065.644
Eritrea,ERI,3473.983
Ethiopia,ETH,112602.827
Kenya,KEN,50442.689
Madagascar,MDG,27187.137
Malawi,MWI,18613.791
Mauritius,MUS,1295.598
Mayotte,MYT,288.628
Mozambique,MOZ,29850.438
Reunion,REU,945.321
Rwanda,RWA,12682.725
Seychelles,SYC,103.739
Somalia,SOM,15689.74
South Sudan,SSD,10349.891
Uganda,UGA,42212.297
United Republic of Tanzania,TZA,58973.192
Zambia,ZMB,18106.035
Zimbabwe,ZWE,15203.989
Angola,AGO,31808.179
Cameroon,CMR,25427.553
Central African Republic,CAF,5146.623
Chad,TCD,15874.547
Congo,COG,5506.177
Democratic Republic of the Congo,COD,88481.831
Equatorial Guinea,GNQ,1527.688
Gabon,GAB,2217.576
Sao Tome and Principe,STP,212.976
Algeria,DZA,42319.75
Egypt,EGY,104698.623
Libya,LBY,6526.148
Morocco,MAR,36119.972
Sudan,SDN,42636.118
Tunisia,TUN,11992.376
Western Sahara,ESH,538.507
Botswana,BWA,2475.862
Eswatini,SWZ,1165.004
Lesotho,LSO,2211.799
Namibia,NAM,2426.212
South Africa,ZAF,57707.967
Benin,BEN,12114.069
Burkina Faso,BFA,20671.385
Cabo Verde,CPV,574.128
Cote d'Ivoire,CIV,25817.528
Gambia,GMB,2476.718
Ghana,GHA,31195.334
Guinea,GIN,12713.491
Guinea-Bissau,GNB,1947.61
Liberia,LBR,4936.387
Mali,MLI,20248.067
Mauritania,MRT,4326.764
Niger,NER,23005.096
Nigeria,NGA,200828.388
Saint Helena,SHN,5.457
Senegal,SEN,15786.096
Sierra Leone,SLE,7953.448
Togo,TGO,8143.953
Kazakhstan,KAZ,18647.459
Kyrgyzstan,KGZ,6274.956
Tajikistan,TJK,9231.189
Turkmenistan,TKM,6112.474
Uzbekistan,UZB,32710.433
China,CHN,1419730.043
"China, Hong Kong SAR",HKG,7490.336
"China, Macao SAR",MAC,657.286
"China, Taiwan Province of China",TWN,23754.579
Dem. People's Republic of Korea,PRK,25697.648
Japan,JPN,126040.583
