name,code,region
Burundi,BDI,Africa
Comoros,COM,Africa
Djibouti,DJI,Africa
Eritrea,ERI,Africa
Ethiopia,ETH,Africa
Kenya,KEN,Africa
Madagascar,MDG,Africa
Malawi,MWI,Africa
Mauritius,MUS,Africa
Mayotte,MYT,Africa
Mozambique,MOZ,Africa
Reunion,REU,Africa
Rwanda,RWA,Africa
Seychelles,SYC,Africa
Somalia,SOM,Africa
South Sudan,SSD,Africa
Uganda,UGA,Africa
United Republic of Tanzania,TZA,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
Angola,AGO,Africa
Cameroon,CMR,Africa
Central African Republic,CAF,Africa
Chad,TCD,Africa
Congo,COG,Africa
Democratic Republic of the Congo,COD,Africa
Equatorial Guinea,GNQ,Africa
Gabon,GAB,Africa
Sao Tome and Principe,STP,Africa
Algeria,DZA,Africa
Egypt,EGY,Africa
Libya,LBY,Africa
Morocco,MAR,Africa
Sudan,SDN,Africa
Tunisia,TUN,Africa
Western Sahara,ESH,Africa
Botswana,BWA,Africa
Eswatini,SWZ,Africa
Lesotho,LSO,Africa
Namibia,NAM,Africa
South Africa,ZAF,Africa
Benin,BEN,Africa
Burkina Faso,BFA,Africa
Cabo Verde,CPV,Africa
Cote d'Ivoire,CIV,Africa
Gambia,GMB,Africa
Ghana,GHA,Africa
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Liberia,LBR,Africa
Mali,MLI,Africa
Mauritania,MRT,Africa
Niger,NER,Africa
Nigeria,NGA,Africa
Saint Helena,SHN,Africa
Senegal,SEN,Africa
Sierra Leone,SLE,Africa
Togo,TGO,Africa
Kazakhstan,KAZ,Asia
Kyrgyzstan,KGZ,Asia
Tajikistan,TJK,Asia
Turkmenistan,TKM,Asia
Uzbekistan,UZB,Asia
China,CHN,Asia
"China, Hong Kong SAR",HKG,Asia
"China, Macao SAR",MAC,Asia
"China, Taiwan Province of China",TWN,Asia
Dem. People's Republic of Korea,PRK,Asia
Japan,JPN,Asia
Mongolia,MNG,Asia
Republic of Korea,KOR,Asia
Afghanistan,AFG,Asia
Bangladesh,BGD,Asia
Bhutan,BTN,Asia
India,IND,Asia
Iran (Islamic Republic of),IRN,Asia
Maldives,MDV,Asia
Nepal,NPL,Asia
Pakistan,PAK,Asia
Sri Lanka,LKA,Asia
Brunei Darussalam,BRN,Asia
Cambodia,KHM,Asia
Indonesia,IDN,Asia
Lao People's Democratic Republic,LAO,Asia
Malaysia,MYS,Asia
Myanmar,MMR,Asia
Philippines,PHL,Asia
Singapore,SGP,Asia
Thailand,THA,Asia
Timor-Leste,TLS,Asia
Viet Nam,VNM,Asia
Armenia,ARM,Asia
Azerbaijan,AZE,Asia
Bahrain,BHR,Asia
Cyprus,CYP,Asia
Georgia,GEO,Asia
Iraq,IRQ,Asia
Israel,ISR,Asia
Jordan,JOR,Asia
Kuwait,KWT,Asia
Lebanon,LBN,Asia
Oman,OMN,Asia
Qatar,QAT,Asia
Saudi Arabia,SAU,Asia
State of Palestine,PSE,Asia
Syrian Arab Republic,SYR,Asia
TuÅrkiye,TUR,Asia
United Arab Emirates,ARE,Asia
Yemen,YEM,Asia
Belarus,BLR,Europe
Bulgaria,BGR,Europe
Czechia,CZE,Europe
Hungary,HUN,Europe
Poland,POL,Europe
Republic of Moldova,MDA,Europe
Romania,ROU,Europe
Russian Federation,RUS,Europe
Slovakia,SVK,Europe
Ukraine,UKR,Europe
Denmark,DNK,Europe
Estonia,EST,Europe
Faroe Islands,FRO,Europe
Finland,FIN,Europe
Guernsey,GGY,Europe
Iceland,ISL,Europe
Ireland,IRL,Europe
Isle of Man,IMN,Europe
Jersey,JEY,Europe
Latvia,LVA,Europe
Lithuania,LTU,Europe
Norway,NOR,Europe
Sweden,SWE,Europe
United Kingdom,GBR,Europe
Albania,ALB,Europe
Andorra,AND,Europe
Bosnia and Herzegovina,BIH,Europe
Croatia,HRV,Europe
Gibraltar,GIB,Europe
Greece,GRC,Europe
Holy See,VAT,Europe
Italy,ITA,Europe
Kosovo (under UNSC res. 1244),XKX,Europe
Malta,MLT,Europe
Montenegro,MNE,Europe
North Macedonia,MKD,Europe
Portugal,PRT,Europe
San Marino,SMR,Europe
Serbia,SRB,Europe
Slovenia,SVN,Europe
Spain,ESP,Europe
Austria,AUT,Europe
Belgium,BEL,Europe
France,FRA,Europe
Germany,DEU,Europe
Liechtenstein,LIE,Europe
Luxembourg,LUX,Europe
Monaco,MCO,Europe
Netherlands,NLD,Europe
Switzerland,CHE,Europe
Anguilla,AIA,Latin America and The Caribbean
Antigua and Barbuda,ATG,Latin America and The Caribbean
Aruba,ABW,Latin America and The Caribbean
Bahamas,BHS,Latin America and The Caribbean
Barbados,BRB,Latin America and The Caribbean
"Bonaire, Sint Eustatius and Saba",BES,Latin America and The Caribbean
British Virgin Islands,VGB,Latin America and The Caribbean
Cayman Islands,CYM,Latin America and The Caribbean
Cuba,CUB,Latin America and The Caribbean
Curacao,CUW,Latin America and The Caribbean
Dominica,DMA,Latin America and The Caribbean
Dominican Republic,DOM,Latin America and The Caribbean
Grenada,GRD,Latin America and The Caribbean
Guadeloupe,GLP,Latin America and The Caribbean
Haiti,HTI,Latin America and The Caribbean
Jamaica,JAM,Latin America and The Caribbean
Martinique,MTQ,Latin America and The Caribbean
Montserrat,MSR,Latin America and The Caribbean
Puerto Rico,PRI,Latin America and The Caribbean
Saint Barthelemy,BLM,Latin America and The Caribbean
Saint Kitts and Nevis,KNA,Latin America and The Caribbean
Saint Lucia,LCA,Latin America and The Caribbean
Saint Martin (French part),MAF,Latin America and The Caribbean
Saint Vincent and the Grenadines,VCT,Latin America and The Caribbean
Sint Maarten (Dutch part),SXM,Latin America and The Caribbean
Trinidad and Tobago,TTO,Latin America and The Caribbean
Turks and Caicos Islands,TCA,Latin America and The Caribbean
United States Virgin Islands,VIR,Latin America and The Caribbean
Belize,BLZ,Latin America and The Caribbean
Costa Rica,CRI,Latin America and The Caribbean
El Salvador,SLV,Latin America and The Caribbean
Guatemala,GTM,Latin America and The Caribbean
Honduras,HND,Latin America and The Caribbean
Mexico,MEX,Latin America and The Caribbean
Nicaragua,NIC,Latin America and The Caribbean
Panama,PAN,Latin America and The Caribbean
Argentina,ARG,Latin America and The Caribbean
Bolivia (Plurinational State of),BOL,Latin America and The Caribbean
Brazil,BRA,Latin America and The Caribbean
Chile,CHL,Latin America and The Caribbean
Colombia,COL,Latin America and The Caribbean
Ecuador,ECU,Latin America and The Caribbean
Falkland Islands (Malvinas),FLK,Latin America and The Caribbean
French Guiana,GUF,Latin America and The Caribbean
Guyana,GUY,Latin America and The Caribbean
Paraguay,PRY,Latin America and The Caribbean
Peru,PER,Latin America and The Caribbean
Suriname,SUR,Latin America and The Caribbean
Uruguay,URY,Latin America and The Caribbean
Venezuela (Bolivarian Republic of),VEN,Latin America and The Caribbean
Bermuda,BMU,North America
Canada,CAN,North America
Greenland,GRL,North America
Saint Pierre and Miquelon,SPM,North America
United States of America,USA,North America
Australia,AUS,Oceania
New Zealand,NZL,Oceania
Fiji,FJI,Oceania
New Caledonia,NCL,Oceania
Papua New Guinea,PNG,Oceania
Solomon Islands,SLB,Oceania
Vanuatu,VUT,Oceania
Guam,GUM,Oceania
Kiribati,KIR,Oceania
Marshall Islands,MHL,Oceania
Micronesia (Fed. States of),FSM,Oceania
Nauru,NRU,Oceania
Northern Mariana Islands,MNP,Oceania
Palau,PLW,Oceania
American Samoa,ASM,Oceania
Cook Islands,COK,Oceania
French Polynesia,PYF,Oceania
Niue,NIU,Oceania
Samoa,WSM,Oceania
Tokelau,TKL,Oceania
Tonga,TON,Oceania
Tuvalu,TUV,Oceania
Wallis and Futuna Islands,WLF,Oceania
