name,code,mismanaged_plastic
Albania,ALB,24.23915307
Algeria,DZA,17.75899473
Angola,AGO,7.445278869
Antigua and Barbuda,ATG,6.463917526
Argentina,ARG,10.40191152
Australia,AUS,0.20894338
Bahamas,BHS,5.686375321
Bahrain,BHR,0.635588056
Bangladesh,BGD,6.268108387
Barbados,BRB,3.038327526
Belgium,BEL,0.19793743
Belize,BLZ,15.43846154
Benin,BEN,11.29861876
Bosnia and Herzegovina,BIH,16.82853681
Brazil,BRA,15.62046908
Brunei,BRN,1.598152425
Bulgaria,BGR,0.445285714
Burkina Faso,BFA,15.61429064
Cambodia,KHM,15.01152423
Cameroon,CMR,22.36814036
Canada,CAN,0.630483013
Cape Verde,CPV,6.487272727
Chile,CHL,1.623417054
China,CHN,8.559308412
Colombia,COL,1.697570472
Comoros,COM,69.51586369
Congo,COG,12.13361829
Costa Rica,CRI,1.139263074
Cote d'Ivoire,CIV,11.33934751
Croatia,HRV,4.247941889
Cyprus,CYP,0.698081735
Democratic Republic of Congo,COD,15.78193592
Denmark,DNK,0.067567568
Djibouti,DJI,10.56365503
Dominica,DMA,15.02777778
Dominican Republic,DOM,18.06667287
East Timor,TLS,13.33642691
Ecuador,ECU,6.262058248
Egypt,EGY,14.29961748
El Salvador,SLV,3.361171367
Equatorial Guinea,GNQ,6.934365782
Eritrea,ERI,24.0457535
Estonia,EST,0.452488688
Fiji,FJI,4.334831461
Finland,FIN,0.473788865
France,FRA,0.426531552
French Guiana,GUF,0.432989691
Gabon,GAB,2.757017948
Gambia,GMB,14.9467632
Georgia,GEO,0.076807606
Germany,DEU,0.606774669
Ghana,GHA,17.09520679
Greece,GRC,0.430249212
Grenada,GRD,12.11607143
Guadeloupe,GLP,0.405
Guatemala,GTM,17.68972186
Guinea,GIN,11.58852087
Guinea-Bissau,GNB,10.65330557
Guyana,GUY,35.20434227
Haiti,HTI,21.12829619
Honduras,HND,14.97999179
Hong Kong,HKG,0.777434104
Iceland,ISL,0.445427729
India,IND,9.509608
Indonesia,IDN,3.045657286
Iran,IRN,5.981679813
Iraq,IRQ,12.51007377
Ireland,IRL,0.547931176
Israel,ISR,0.711351098
Italy,ITA,0.640842279
Jamaica,JAM,16.84972863
Japan,JPN,0.281286458
Jordan,JOR,12.31686795
Kazakhstan,KAZ,2.92393941
Kenya,KEN,5.514455815
Kiribati,KIR,0.627118644
Kuwait,KWT,0.627525553
Latvia,LVA,0.500786576
Lebanon,LBN,6.800175029
Lesotho,LSO,14.30164706
Liberia,LBR,8.087907636
Libya,LBY,27.81983178
Lithuania,LTU,0.375724638
Madagascar,MDG,0.936260151
Malaysia,MYS,25.491518
Maldives,MDV,0.11299435
Malta,MLT,0.588636364
Marshall Islands,MHL,0.271186441
Martinique,MTQ,0.369680851
Mauritania,MRT,4.594785683
Mauritius,MUS,0.235433071
Mexico,MEX,3.375352731
Monaco,MCO,0.128205128
Montenegro,MNE,0.025477707
Morocco,MAR,8.101776705
Mozambique,MOZ,14.30652704
Myanmar,MMR,8.038338422
Namibia,NAM,8.373547094
Netherlands,NLD,0.890975025
New Zealand,NZL,0.358352498
Nicaragua,NIC,16.93583868
Nigeria,NGA,9.698005613
North Korea,PRK,0.01254578
Norway,NOR,0.277746793
Oman,OMN,0.251457286
Pakistan,PAK,6.21734837
Palau,PLW,6.444444444
Palestine,PSE,0.427424212
Panama,PAN,8.558407913
Papua New Guinea,PNG,13.62101185
Peru,PER,4.315995078
Philippines,PHL,37.23096275
Poland,POL,0.372782939
Portugal,PRT,0.373362018
Puerto Rico,PRI,0.440845551
Qatar,QAT,0.540960452
Reunion,REU,0.262092238
Romania,ROU,2.693570875
Russia,RUS,2.491149775
Saint Kitts and Nevis,KNA,1.830188679
Saint Lucia,LCA,23.36612022
Saint Vincent and the Grenadines,VCT,11.12612613
Samoa,WSM,8.822335025
Sao Tome and Principe,STP,9.623255814
Saudi Arabia,SAU,0.209402084
Senegal,SEN,4.029209622
Seychelles,SYC,0.336734694
Sierra Leone,SLE,11.67784462
Singapore,SGP,0.425223983
Slovakia,SVK,0.315008246
Slovenia,SVN,0.405964406
Solomon Islands,SLB,5.253731343
Somalia,SOM,0
South Africa,ZAF,12.09855186
South Korea,KOR,0.237306003
Spain,ESP,0.435415196
Sri Lanka,LKA,7.290658413
Sudan,SDN,18.25672109
Suriname,SUR,39.47160069
Sweden,SWE,0.423973695
Syria,SYR,0.029408319
Taiwan,TWN,0.315554808
Tanzania,TZA,29.59055254
Thailand,THA,19.55720564
Togo,TGO,15.06842366
Tonga,TON,6.403846154
Trinidad and Tobago,TTO,52.42939068
Tunisia,TUN,24.7574177
Turkey,TUR,19.85029366
Ukraine,UKR,8.950697822
United Arab Emirates,ARE,0.525534746
United Kingdom,GBR,0.442973493
United States,USA,0.812815117
Uruguay,URY,26.75332178
Venezuela,VEN,23.54576378
Vietnam,VNM,11.53604528
Western Sahara,ESH,7.068728522
Yemen,YEM,10.00401207
Zimbabwe,ZWE,35.83919426
