opinion,region
Right,rest_of_south
Wrong,north
Right,midlands_wales
Right,rest_of_south
Wrong,midlands_wales
Right,rest_of_south
Wrong,midlands_wales
Wrong,north
Wrong,rest_of_south
Don't know,midlands_wales
Right,rest_of_south
Don't know,midlands_wales
Don't know,london
Right,midlands_wales
Right,rest_of_south
Right,rest_of_south
Wrong,rest_of_south
Right,rest_of_south
Don't know,north
Right,rest_of_south
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,north
Right,rest_of_south
Right,north
Right,rest_of_south
Right,midlands_wales
Right,rest_of_south
Right,north
Wrong,midlands_wales
Wrong,midlands_wales
Wrong,london
Right,midlands_wales
Wrong,rest_of_south
Don't know,midlands_wales
Right,london
Wrong,rest_of_south
Right,midlands_wales
Right,midlands_wales
Wrong,rest_of_south
Right,midlands_wales
Don't know,north
Right,london
Wrong,rest_of_south
Wrong,midlands_wales
Wrong,north
Right,north
Wrong,rest_of_south
Right,north
Don't know,rest_of_south
Wrong,midlands_wales
Wrong,midlands_wales
Wrong,north
Right,london
Right,midlands_wales
Wrong,rest_of_south
Wrong,midlands_wales
Right,north
Don't know,midlands_wales
Wrong,midlands_wales
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,rest_of_south
Wrong,rest_of_south
Wrong,midlands_wales
Wrong,north
Wrong,scot
Right,rest_of_south
Wrong,north
Right,london
Wrong,north
Don't know,london
Wrong,midlands_wales
Right,north
Don't know,north
Right,north
Right,midlands_wales
Wrong,rest_of_south
Wrong,rest_of_south
Wrong,london
Right,midlands_wales
Right,midlands_wales
Right,rest_of_south
Wrong,rest_of_south
Right,london
Right,midlands_wales
Right,rest_of_south
Right,rest_of_south
Right,rest_of_south
Right,rest_of_south
Don't know,midlands_wales
Wrong,rest_of_south
Wrong,rest_of_south
Right,midlands_wales
Don't know,london
Wrong,north
Wrong,london
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,north
Wrong,north
Wrong,rest_of_south
Wrong,rest_of_south
Don't know,north
Don't know,north
Right,north
Wrong,scot
Wrong,midlands_wales
Wrong,rest_of_south
Right,north
Wrong,scot
Right,north
Wrong,london
Don't know,north
Don't know,midlands_wales
Right,north
Don't know,north
Right,rest_of_south
Wrong,rest_of_south
Right,midlands_wales
Don't know,rest_of_south
Wrong,rest_of_south
Right,scot
Wrong,london
Wrong,midlands_wales
Right,north
Right,rest_of_south
Wrong,rest_of_south
Wrong,north
Right,north
Don't know,rest_of_south
Wrong,north
Don't know,midlands_wales
Wrong,london
Right,midlands_wales
Don't know,midlands_wales
Right,midlands_wales
Wrong,rest_of_south
Wrong,north
Wrong,midlands_wales
Wrong,rest_of_south
Right,midlands_wales
Right,north
Right,north
Right,north
Wrong,midlands_wales
Wrong,north
Right,rest_of_south
Wrong,scot
Wrong,midlands_wales
Right,rest_of_south
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,scot
Don't know,north
Don't know,midlands_wales
Right,midlands_wales
Right,rest_of_south
Right,midlands_wales
Right,midlands_wales
Wrong,midlands_wales
Right,north
Right,london
Wrong,scot
Wrong,rest_of_south
Right,north
Wrong,north
Wrong,north
Right,rest_of_south
Right,north
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,scot
Wrong,north
Right,midlands_wales
Right,london
Don't know,london
Right,north
Right,rest_of_south
Wrong,rest_of_south
Right,north
Wrong,midlands_wales
Right,scot
Wrong,midlands_wales
Right,midlands_wales
Right,north
Wrong,north
Right,midlands_wales
Right,london
Right,midlands_wales
Don't know,midlands_wales
Wrong,north
Wrong,rest_of_south
Wrong,north
Right,north
Wrong,rest_of_south
Wrong,midlands_wales
Don't know,rest_of_south
Wrong,london
Right,north
Don't know,midlands_wales
Wrong,rest_of_south
Wrong,london
Wrong,midlands_wales
Wrong,north
Wrong,london
Wrong,rest_of_south
Right,midlands_wales
Wrong,midlands_wales
Right,north
Right,rest_of_south
Right,north
Right,rest_of_south
Right,midlands_wales
Right,rest_of_south
Wrong,scot
Don't know,rest_of_south
Wrong,rest_of_south
Don't know,london
Right,midlands_wales
Right,rest_of_south
Wrong,london
Right,north
Right,north
Right,north
Wrong,rest_of_south
Wrong,scot
Right,london
Right,north
Wrong,rest_of_south
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,rest_of_south
Right,london
Right,north
Wrong,rest_of_south
Don't know,midlands_wales
Right,london
Wrong,midlands_wales
Wrong,north
Wrong,north
Wrong,rest_of_south
Wrong,rest_of_south
Right,london
Wrong,north
Wrong,london
Wrong,rest_of_south
Right,london
Don't know,london
Wrong,north
Right,midlands_wales
Wrong,rest_of_south
Right,london
Right,rest_of_south
Wrong,north
Wrong,rest_of_south
Right,north
Right,rest_of_south
Right,midlands_wales
Right,midlands_wales
Don't know,london
Right,rest_of_south
Right,london
Wrong,north
Wrong,north
Wrong,midlands_wales
Right,london
Wrong,north
Wrong,rest_of_south
Right,london
Right,rest_of_south
Wrong,london
Wrong,london
Right,north
Right,rest_of_south
Don't know,north
Wrong,rest_of_south
Wrong,north
Wrong,midlands_wales
Right,scot
Wrong,rest_of_south
Wrong,north
Wrong,london
Wrong,london
Wrong,midlands_wales
Wrong,scot
Wrong,london
Right,midlands_wales
Wrong,london
Don't know,london
Wrong,midlands_wales
Wrong,scot
Right,midlands_wales
Wrong,north
Right,rest_of_south
Wrong,scot
Don't know,london
Wrong,north
Wrong,scot
Don't know,london
Don't know,midlands_wales
Right,midlands_wales
Wrong,rest_of_south
Don't know,london
Don't know,north
Wrong,london
Right,north
Don't know,scot
Wrong,london
Right,rest_of_south
Right,midlands_wales
Right,london
Wrong,scot
Right,rest_of_south
Right,midlands_wales
Right,north
Don't know,rest_of_south
Wrong,rest_of_south
Right,rest_of_south
Don't know,rest_of_south
Wrong,midlands_wales
Wrong,london
Wrong,north
Right,midlands_wales
Right,scot
Right,north
Wrong,rest_of_south
Right,midlands_wales
Wrong,rest_of_south
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,scot
Right,north
Right,midlands_wales
Right,midlands_wales
Wrong,rest_of_south
Wrong,north
Wrong,london
Right,rest_of_south
Right,rest_of_south
Right,rest_of_south
Right,scot
Wrong,scot
Right,rest_of_south
Wrong,north
Right,midlands_wales
Don't know,rest_of_south
Right,scot
Wrong,london
Wrong,rest_of_south
Don't know,north
Wrong,midlands_wales
Right,north
Wrong,midlands_wales
Wrong,rest_of_south
Wrong,midlands_wales
Wrong,midlands_wales
Right,scot
Wrong,scot
Right,rest_of_south
Right,rest_of_south
Wrong,rest_of_south
Wrong,north
Right,rest_of_south
Wrong,north
Wrong,north
Don't know,rest_of_south
Right,rest_of_south
Don't know,north
Right,midlands_wales
Wrong,london
Don't know,north
Right,london
Wrong,midlands_wales
Wrong,scot
Wrong,london
Right,midlands_wales
Don't know,midlands_wales
Wrong,north
Wrong,midlands_wales
Wrong,north
Right,rest_of_south
Wrong,north
Wrong,london
Right,north
Right,north
Don't know,midlands_wales
Don't know,scot
