species,body_mass,forearm,age,sex,year
Artibeus cinereus,12,41,adult,male,2011
Artibeus cinereus,13,38.6,adult,female,2011
Artibeus cinereus,11,39.1,adult,male,2011
Artibeus cinereus,8,39.2,adult,male,2011
Artibeus cinereus,13,39,adult,male,2011
Artibeus cinereus,19,43,adult,female,2011
Artibeus cinereus,12,40,juvenile,male,2011
Artibeus cinereus,16,41,adult,female,2011
Artibeus cinereus,11,41,adult,female,2011
Artibeus cinereus,15,40.5,adult,female,2011
Artibeus cinereus,18,42.4,adult,female,2011
Artibeus cinereus,11,39.3,adult,male,2011
Artibeus cinereus,11,39.9,adult,male,2011
Artibeus cinereus,12,39.3,adult,male,2011
Artibeus cinereus,14,40,adult,male,2011
Artibeus cinereus,12,39,adult,male,2011
Artibeus cinereus,14,41,adult,female,2011
Artibeus cinereus,14,40,adult,male,2011
Artibeus cinereus,15,39.5,adult,male,2011
Artibeus cinereus,15,40,adult,male,2011
Artibeus cinereus,14,40,adult,female,2011
Artibeus cinereus,11,39.1,adult,male,2011
Artibeus cinereus,12,38.5,adult,male,2011
Artibeus cinereus,12,38.7,adult,male,2011
Artibeus cinereus,12,39,adult,male,2011
Artibeus cinereus,13,40.8,adult,male,2011
Artibeus cinereus,15,41.45,adult,male,2011
Artibeus cinereus,13,39.2,adult,female,2011
Artibeus cinereus,13,40.6,adult,male,2011
Artibeus cinereus,14,41.6,adult,male,2012
Artibeus cinereus,16,40.7,adult,female,2012
Artibeus cinereus,16,41.55,adult,female,2012
Artibeus cinereus,15,41.6,adult,female,2012
Artibeus cinereus,13,38.97,adult,female,2011
Artibeus cinereus,12,38.79,adult,male,2011
Artibeus cinereus,12,40.59,adult,male,2012
Artibeus cinereus,11.5,39.86,adult,male,2012
Artibeus cinereus,13,42.5,adult,male,2012
Artibeus cinereus,11,39.85,juvenile,male,2012
Artibeus cinereus,12.5,40.74,adult,male,2012
Artibeus cinereus,11,40.31,juvenile,female,2012
Artibeus cinereus,14,40.67,juvenile,female,2012
Artibeus cinereus,13,42.18,juvenile,female,2012
Artibeus cinereus,13,40.76,adult,male,2012
Artibeus cinereus,14,40.9,juvenile,male,2012
Artibeus cinereus,12,41.47,adult,male,2012
Artibeus cinereus,11,39.24,juvenile,female,2012
Artibeus cinereus,14,40.16,juvenile,female,2012
Artibeus cinereus,12.5,40.89,juvenile,female,2012
Artibeus cinereus,12,39.76,adult,male,2012
Artibeus cinereus,12,38.23,adult,male,2012
Artibeus cinereus,13,38.03,adult,male,2012
Artibeus cinereus,11,40.61,juvenile,female,2012
Artibeus cinereus,13,40.26,adult,female,2012
Artibeus cinereus,14,41.99,juvenile,female,2012
Artibeus cinereus,13,39.52,adult,female,2012
Artibeus cinereus,8,43.98,adult,female,2012
Artibeus cinereus,10,41.06,juvenile,male,2012
Artibeus cinereus,13,41,adult,male,2013
Artibeus cinereus,13,40.5,adult,female,2013
Artibeus cinereus,11,40.8,adult,male,2013
Artibeus cinereus,14,39.25,adult,female,2013
Artibeus cinereus,12,41,adult,male,2014
Artibeus cinereus,12,40.5,juvenile,male,2014
Artibeus cinereus,11,40.3,juvenile,male,2014
Artibeus cinereus,13,40.1,adult,male,2014
Artibeus cinereus,12,40.3,adult,male,2014
Artibeus cinereus,13,40.6,adult,male,2014
Artibeus cinereus,13,40.5,adult,male,2014
Artibeus cinereus,14,40.5,juvenile,female,2014
